Income,Rent,Food,Transport,Shopping,Entertainment,Healthcare,Education,Bills,Other,Total_Expenses,Savings,Budget_Health,Expense_Ratio,Calculated_Savings,Spending_Level,Recommendation,Highest_Expense_Category
40795,21646,8665,2810,7493,4951,2620,2216,4427,3624,54828,-14033,Overspending,134.39882338521878,-14033,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
25860,19075,7877,3923,3878,3435,2843,4951,5780,1827,51762,-25902,Overspending,200.16241299303945,-25902,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
79886,14208,9267,3214,5143,4376,1740,4786,2927,2908,45661,34225,Saving,57.15769972210399,34225,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
31265,21371,4849,5186,4644,626,560,4238,4804,4173,46278,-15013,Overspending,148.01855109547418,-15013,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
62194,16835,5251,1713,5432,3677,1438,2969,4702,3791,42017,20177,Saving,67.55796379071937,20177,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
69131,18168,9390,4602,2276,3556,2139,1056,3356,4533,44543,24588,Saving,64.43274363165584,24588,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
85263,7049,8905,5134,6811,1103,4620,1325,5790,1203,40737,44526,Saving,47.778051440836,44526,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Food
41023,10423,5730,4522,1302,3949,4726,3308,3335,1074,37295,3728,Saving,90.91241498671478,3728,High Spending,High spending level. Monitor your Rent expenses and look for opportunities to save.,Rent
66090,19589,4489,5268,1638,4646,4069,3219,1306,3732,44224,21866,Saving,66.91481313360569,21866,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
92221,24492,3631,5748,1055,4033,1752,4008,4665,3132,49384,42837,Saving,53.549625356480625,42837,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
89820,12158,4816,5849,9717,3867,4703,4241,2989,4328,48340,41480,Saving,53.81874860832777,41480,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
25769,15248,3015,2243,9150,3868,671,2074,1661,3730,37930,-12161,Overspending,147.19236291668284,-12161,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
84735,12400,3348,4709,3125,4297,1958,4498,5644,988,39979,44756,Saving,47.181212013925766,44756,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
87955,24554,6611,2081,1364,2292,4049,2629,1311,1847,44891,43064,Saving,51.03859928372463,43064,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
89925,14874,5087,1455,7809,3361,4697,2903,3920,4181,44106,45819,Saving,49.04753961634696,45819,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
92969,20151,4839,5924,5621,3976,2822,3829,2082,3673,49244,43725,Saving,52.96819369897493,43725,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
30311,23639,2335,1894,6126,3917,2136,1088,3971,2167,45106,-14795,Overspending,148.81066279568472,-14795,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
78707,6154,7878,2384,6122,2145,3615,2512,6833,2137,37643,41064,Saving,47.82674984435946,41064,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Food
53693,9499,8401,2958,2646,1705,4590,2047,1754,4614,33600,20093,Saving,62.57798968208146,20093,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
96932,11295,6592,4072,1918,3530,3504,794,5130,4053,36835,60097,Saving,38.00086658688565,60097,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
50658,17183,2895,2996,3797,3372,829,2485,5540,1500,39097,11561,Saving,77.17833313593114,11561,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
43431,17874,8303,5285,7506,3572,4140,3617,6326,1350,56623,-13192,Overspending,130.37461720890607,-13192,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
27747,23032,5546,1504,6870,2354,4394,2190,1352,1888,47242,-19495,Overspending,170.2598479114859,-19495,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
84150,10539,2851,2214,2531,4521,4607,1636,1902,4212,30801,53349,Saving,36.60249554367201,53349,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
90725,14637,3687,2531,9172,3208,1841,2564,6451,1867,44091,46634,Saving,48.59851198677322,46634,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
60773,20586,3931,4440,4345,4002,4163,4955,4888,1321,51310,9463,Saving,84.42894048343837,9463,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
92435,7557,8833,1823,8673,1832,715,1507,6844,954,37784,54651,Saving,40.87629144804457,54651,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Food
81886,10592,5746,1928,7949,701,838,3014,1158,2124,31926,49960,Saving,38.98834965684,49960,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
91803,21482,4427,1133,7882,4007,4562,4026,2977,3272,50496,41307,Saving,55.0047384072416,41307,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
56551,7200,3568,3105,2906,4712,3208,1747,1956,4226,28402,28149,Saving,50.2236918887376,28149,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
36394,19172,6000,4627,4086,1074,3652,4402,3071,3647,46084,-9690,Overspending,126.62526790130242,-9690,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
94092,7961,7052,5780,9152,1036,2250,1935,1403,4589,36569,57523,Saving,38.865153254261784,57523,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Shopping
28890,19207,4738,2852,6750,2125,2921,1071,5611,2690,45275,-16385,Overspending,156.71512634129456,-16385,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
66606,16969,5498,5910,9905,2622,1209,2882,3779,1416,48774,17832,Saving,73.22763714980633,17832,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
35627,7869,7732,5175,2062,885,4226,1745,2387,4486,32081,3546,Saving,90.04687456142813,3546,High Spending,High spending level. Monitor your Rent expenses and look for opportunities to save.,Rent
33792,22340,7387,3933,2976,3781,4142,2584,4453,3375,51596,-17804,Overspending,152.6870265151515,-17804,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
98969,18992,9744,4284,2296,974,4493,777,1955,1940,43515,55454,Saving,43.96831331022846,55454,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
68001,10699,7536,5298,7229,917,988,2387,2712,4900,37766,30235,Saving,55.53741856737401,30235,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
48897,8987,7287,3811,8641,4100,546,1765,5703,1235,40840,8057,Saving,83.52250649324088,8057,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
93148,18446,5913,2250,1125,1454,3859,1540,2273,4068,36860,56288,Saving,39.57143470605917,56288,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
48483,6218,3066,4512,5632,1705,900,1417,6631,3838,30081,18402,Saving,62.044427943815364,18402,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Bills
73555,9735,9723,2256,7288,4620,4490,1385,4811,3515,44308,29247,Saving,60.23791720481273,29247,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
42159,16296,6380,4376,4596,2490,3657,3252,3625,3389,44672,-2513,Overspending,105.96076757038828,-2513,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
60920,9555,4444,4486,7168,4072,4845,521,3382,1461,38473,22447,Saving,63.15331582403152,22447,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
92121,14146,6107,4584,8561,4880,890,3691,2441,3489,45300,46821,Saving,49.174455335916896,46821,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
94479,13050,7726,2396,9258,4658,4353,2853,3979,4348,48273,46206,Saving,51.093893881179945,46206,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
44457,17757,5373,4637,1232,3213,4930,1186,2797,1526,41125,3332,Saving,92.50511730436152,3332,High Spending,High spending level. Monitor your Rent expenses and look for opportunities to save.,Rent
91557,24830,5969,4330,7371,2703,1128,784,5390,4365,52505,39052,Saving,57.34678943172013,39052,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
77995,22429,9420,3703,5206,3620,4732,4247,5009,3363,58366,19629,Saving,74.83300211552023,19629,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
65757,11893,4546,1470,8943,1466,3430,1262,5850,3001,38860,26897,Saving,59.09636996821631,26897,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
34692,23077,2753,2353,7891,3932,2021,2928,2394,2447,47349,-12657,Overspending,136.48391560013835,-12657,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
70758,19373,4082,3783,7738,1188,1326,3007,5281,1677,45778,24980,Saving,64.6965714124198,24980,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
97409,19565,4774,3831,3472,4743,2000,528,2269,511,41182,56227,Saving,42.27740763173834,56227,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
96211,8436,4896,1357,3739,4201,3794,1406,5732,4899,33561,62650,Saving,34.8827057197202,62650,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
90697,13754,6185,4019,6401,841,2919,3604,6387,3864,44110,46587,Saving,48.63446420499024,46587,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
62065,15677,2775,1667,2761,2224,1434,4499,4714,3522,35751,26314,Saving,57.60251349391766,26314,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
57606,10895,8748,5468,1876,4922,3542,3494,1529,3871,40474,17132,Saving,70.26004235669896,17132,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
36534,24738,9113,2145,4812,2292,4997,3006,4623,3330,55726,-19192,Overspending,152.53188810423168,-19192,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
65397,21609,3625,5185,2460,2259,1966,4109,3958,542,45171,20226,Saving,69.07197577870544,20226,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
26016,20636,5069,4719,2733,3712,4061,4053,3914,1443,48897,-22881,Overspending,187.94972324723247,-22881,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
80591,12022,2417,3745,2605,1489,1114,1953,5889,2890,31234,49357,Saving,38.756188656301575,49357,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
48247,14151,2114,1539,6622,2762,1682,3856,4591,3045,37317,10930,Saving,77.34574170414741,10930,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
49300,10600,2616,3779,7767,2982,3723,1015,3147,2911,35629,13671,Saving,72.26977687626774,13671,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
99065,12996,5974,5964,7986,1451,3167,538,5573,1504,43649,55416,Saving,44.06097007015596,55416,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
34268,14007,5267,5136,4517,1222,630,3842,6718,520,41339,-7071,Overspending,120.63441111240807,-7071,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
